Game,Developer,Year
Diablo,Blizzard Noth,1996
Total Annihilation,Cavedog Ent.,1997
The Legend of Zelda: Ocarina of Time,Nintendo EAD,1998
SoulCalibur,Namco,1999
Chrono Cross,Square Co.,2000
Grand Theft Auto III,Rockstar North,2001
Metroid Prime,"Retro Studios, Nintendo",2002
The Legend of Zelda: The Wind Waker,Nintendo,2003
World of Warcraft,Blizzard Entertainment,2004
Resident Evil 4,Capcom,2005
Gears of War,Epic Games,2006
Super Mario Galaxy,Nintendo,2007
Metal Gear Solid 4: Guns of the Patriots,Kojima Productions,2008
Demon's Souls,FromSoftware,2009
Red Dead Redemption,Rockstar Games,2010
The Elder Scrolls V: Skyrim,Bethesda Game Studios,2011
Journey,Thatgamecompany,2012
The Legend of Zelda: A Link Between Worlds,Nintendo,2013
Middle-earth: Shadow of Mordor,Monolith Productions,2014
The Witcher 3: Wild Hunt,CD Projekt RED,2015
